0	FLT	07June2024									
1	AB0       	ARUBA	J	SFAR	Kia Sportage	4	5	3	R  	Radio	SUV	https://www.avisloyalty.eu/assets/fleetmedium/Kia_06_Sportage.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Kia_06_Sportage.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Kia_06_Sportage.jpg
1	AB0       	ARUBA	J	SFAR	Kia Sportage	4	5	3	SWB	Short Wheel Base	SUV	https://www.avisloyalty.eu/assets/fleetmedium/Kia_06_Sportage.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Kia_06_Sportage.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Kia_06_Sportage.jpg
1	AB0       	ARUBA	M	MVAR	Kia Carnival	4	7	5	AC 	Air Conditioning	Passenger Van	https://www.avisloyalty.eu/assets/fleetmedium/Kia_Carnival_2022.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Kia_Carnival_2022.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Kia_Carnival_2022.jpg
1	AB0       	ARUBA	M	MVAR	Kia Carnival	4	7	5	AB2	Air Bag - Driver/Passenger	Passenger Van	https://www.avisloyalty.eu/assets/fleetmedium/Kia_Carnival_2022.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Kia_Carnival_2022.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Kia_Carnival_2022.jpg
1	AB0       	ARUBA	M	MVAR	Kia Carnival	4	7	5	R  	Radio	Passenger Van	https://www.avisloyalty.eu/assets/fleetmedium/Kia_Carnival_2022.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Kia_Carnival_2022.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Kia_Carnival_2022.jpg
1	AB0       	ARUBA	N	FVAR	Hyundai H1	4	12	5	AC 	Air Conditioning	Van	https://www.avisloyalty.eu/assets/fleetmedium/Hyundai_06_H1.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Hyundai_06_H1.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Hyundai_06_H1.jpg
1	AB0       	ARUBA	N	FVAR	Hyundai H1	4	12	5	AB2	Air Bag - Driver/Passenger	Van	https://www.avisloyalty.eu/assets/fleetmedium/Hyundai_06_H1.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Hyundai_06_H1.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Hyundai_06_H1.jpg
1	AB0       	ARUBA	N	FVAR	Hyundai H1	4	12	5	R  	Radio	Van	https://www.avisloyalty.eu/assets/fleetmedium/Hyundai_06_H1.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Hyundai_06_H1.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Hyundai_06_H1.jpg
1	AD0       	ANDORRA	A	MBMR	Fiat 500 	3	4	2	AC 	Air Conditioning	Mini	https://www.avisloyalty.eu/assets/fleetmedium/Fiat_500_2021.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Fiat_500_2021.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Fiat_500_2021.jpg
1	AD0       	ANDORRA	A	MBMR	Fiat 500 	3	4	2	AB2	Air Bag - Driver/Passenger	Mini	https://www.avisloyalty.eu/assets/fleetmedium/Fiat_500_2021.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Fiat_500_2021.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Fiat_500_2021.jpg
1	AD0       	ANDORRA	A	MBMR	Fiat 500 	3	4	2	R  	Radio	Mini	https://www.avisloyalty.eu/assets/fleetmedium/Fiat_500_2021.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Fiat_500_2021.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Fiat_500_2021.jpg
1	AD0       	ANDORRA	B	EDMR	Opel Corsa	5	5	3	AC 	Air Conditioning	Economy	https://www.avisloyalty.eu/assets/fleetmedium/Opel_Corsa_2020.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Opel_Corsa_2020.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Opel_Corsa_2020.jpg
1	AD0       	ANDORRA	B	EDMR	Opel Corsa	5	5	3	AB2	Air Bag - Driver/Passenger	Economy	https://www.avisloyalty.eu/assets/fleetmedium/Opel_Corsa_2020.jpg	https://www.avisloyalty.eu/assets/fleetsmall/Opel_Corsa_2020.jpg	https://www.avisloyalty.eu/assets/fleetlarge/Opel_Corsa_2020.jpg
